ask_variant,followup_variant,ritual_goofiness,trial,response_probability,connection_yield,forwarding_probability
read + discuss,small ritual named,0.74,19,0.7546,0.4374,0.4491
read + discuss,small ritual named,0.74,20,0.699,0.489,0.3564
read + discuss,small ritual named,0.74,21,0.7126,0.4294,0.3641
read + discuss,small ritual named,0.74,22,0.6481,0.446,0.2561
read + discuss,small ritual named,0.74,23,0.6966,0.4462,0.3524
read + discuss,small ritual named,0.74,24,0.78,0.4533,0.4233
read + discuss,full cathedral footnote,0.93,1,0.5995,0.3723,0.3814
read + discuss,full cathedral footnote,0.93,2,0.5572,0.3156,0.3428
read + discuss,full cathedral footnote,0.93,3,0.6262,0.3304,0.3457
read + discuss,full cathedral footnote,0.93,4,0.4887,0.2734,0.3738
read + discuss,full cathedral footnote,0.93,5,0.5798,0.3749,0.3413
read + discuss,full cathedral footnote,0.93,6,0.6104,0.3366,0.3581
read + discuss,full cathedral footnote,0.93,7,0.5486,0.351,0.3676
read + discuss,full cathedral footnote,0.93,8,0.6164,0.369,0.372
read + discuss,full cathedral footnote,0.93,9,0.5912,0.3901,0.3007
read + discuss,full cathedral footnote,0.93,10,0.6757,0.4484,0.3267
read + discuss,full cathedral footnote,0.93,11,0.4743,0.2577,0.3483
read + discuss,full cathedral footnote,0.93,12,0.6382,0.4011,0.4048
read + discuss,full cathedral footnote,0.93,13,0.5037,0.295,0.3068
read + discuss,full cathedral footnote,0.93,14,0.6994,0.4512,0.3698
read + discuss,full cathedral footnote,0.93,15,0.4907,0.3276,0.3372
read + discuss,full cathedral footnote,0.93,16,0.5544,0.3305,0.3575
read + discuss,full cathedral footnote,0.93,17,0.5904,0.3377,0.3844
read + discuss,full cathedral footnote,0.93,18,0.5838,0.3867,0.3458
read + discuss,full cathedral footnote,0.93,19,0.5135,0.2989,0.3188
read + discuss,full cathedral footnote,0.93,20,0.6784,0.4525,0.4191
read + discuss,full cathedral footnote,0.93,21,0.5091,0.3191,0.3531
read + discuss,full cathedral footnote,0.93,22,0.6189,0.3689,0.3562
read + discuss,full cathedral footnote,0.93,23,0.5942,0.4,0.2927
read + discuss,full cathedral footnote,0.93,24,0.5936,0.3622,0.3405
read + share one person,none,0.0,1,0.4511,0.1806,0.3267
read + share one person,none,0.0,2,0.4553,0.1371,0.4267
read + share one person,none,0.0,3,0.3902,0.1233,0.3024
read + share one person,none,0.0,4,0.4103,0.0905,0.286
read + share one person,none,0.0,5,0.3671,0.1202,0.3139
read + share one person,none,0.0,6,0.3588,0.1174,0.2427
read + share one person,none,0.0,7,0.272,0.0918,0.259
read + share one person,none,0.0,8,0.3659,0.0953,0.3497
read + share one person,none,0.0,9,0.4488,0.162,0.4291
read + share one person,none,0.0,10,0.4371,0.145,0.3114
read + share one person,none,0.0,11,0.4533,0.1428,0.3099
read + share one person,none,0.0,12,0.3674,0.1591,0.3484
read + share one person,none,0.0,13,0.3279,0.1276,0.2988
read + share one person,none,0.0,14,0.3473,0.1003,0.3423
read + share one person,none,0.0,15,0.4212,0.1413,0.3535
read + share one person,none,0.0,16,0.3594,0.1158,0.3139
read + share one person,none,0.0,17,0.3058,0.0911,0.352
read + share one person,none,0.0,18,0.489,0.1639,0.4119
read + share one person,none,0.0,19,0.4611,0.1739,0.4463
read + share one person,none,0.0,20,0.3561,0.1089,0.2937
read + share one person,none,0.0,21,0.2831,0.1125,0.2517
read + share one person,none,0.0,22,0.3994,0.1502,0.303
read + share one person,none,0.0,23,0.4152,0.163,0.2989
read + share one person,none,0.0,24,0.3701,0.1679,0.3496
read + share one person,clinical humility,0.22,1,0.534,0.2644,0.3515
read + share one person,clinical humility,0.22,2,0.5414,0.2351,0.4612
read + share one person,clinical humility,0.22,3,0.58,0.2756,0.4092
read + share one person,clinical humility,0.22,4,0.5473,0.2075,0.3371
read + share one person,clinical humility,0.22,5,0.5716,0.2637,0.4462
read + share one person,clinical humility,0.22,6,0.6083,0.2673,0.4048
read + share one person,clinical humility,0.22,7,0.5008,0.2191,0.2269
read + share one person,clinical humility,0.22,8,0.541,0.2733,0.3935
read + share one person,clinical humility,0.22,9,0.5102,0.1969,0.3833
read + share one person,clinical humility,0.22,10,0.6255,0.3308,0.4201
read + share one person,clinical humility,0.22,11,0.4949,0.235,0.3157
read + share one person,clinical humility,0.22,12,0.5559,0.2168,0.4038
read + share one person,clinical humility,0.22,13,0.6162,0.2693,0.4116
read + share one person,clinical humility,0.22,14,0.5484,0.2275,0.4345
read + share one person,clinical humility,0.22,15,0.3743,0.1891,0.3937
read + share one person,clinical humility,0.22,16,0.463,0.2389,0.4137
read + share one person,clinical humility,0.22,17,0.5164,0.1941,0.3395
read + share one person,clinical humility,0.22,18,0.4901,0.2321,0.2947
read + share one person,clinical humility,0.22,19,0.61,0.1954,0.4504
read + share one person,clinical humility,0.22,20,0.5469,0.1903,0.3904
read + share one person,clinical humility,0.22,21,0.612,0.2623,0.4267
read + share one person,clinical humility,0.22,22,0.6572,0.254,0.5779
read + share one person,clinical humility,0.22,23,0.4979,0.2342,0.4196
read + share one person,clinical humility,0.22,24,0.5101,0.2017,0.5133
read + share one person,weird way to reach out,0.52,1,0.7135,0.462,0.5201
read + share one person,weird way to reach out,0.52,2,0.6225,0.3473,0.505
read + share one person,weird way to reach out,0.52,3,0.6885,0.3885,0.5017
read + share one person,weird way to reach out,0.52,4,0.7692,0.4472,0.426
read + share one person,weird way to reach out,0.52,5,0.7396,0.3071,0.478
read + share one person,weird way to reach out,0.52,6,0.576,0.3732,0.4663
read + share one person,weird way to reach out,0.52,7,0.675,0.312,0.4953
read + share one person,weird way to reach out,0.52,8,0.7114,0.3924,0.4962
read + share one person,weird way to reach out,0.52,9,0.6944,0.3495,0.4423
read + share one person,weird way to reach out,0.52,10,0.6151,0.3459,0.3868
read + share one person,weird way to reach out,0.52,11,0.6869,0.3603,0.5125
read + share one person,weird way to reach out,0.52,12,0.6917,0.3657,0.465
read + share one person,weird way to reach out,0.52,13,0.6008,0.3045,0.3978
read + share one person,weird way to reach out,0.52,14,0.5063,0.2859,0.3773
read + share one person,weird way to reach out,0.52,15,0.6496,0.3242,0.4089
read + share one person,weird way to reach out,0.52,16,0.6249,0.3402,0.4246
read + share one person,weird way to reach out,0.52,17,0.6211,0.4184,0.4033
read + share one person,weird way to reach out,0.52,18,0.7395,0.4665,0.4889
read + share one person,weird way to reach out,0.52,19,0.6925,0.3916,0.4714
read + share one person,weird way to reach out,0.52,20,0.713,0.5047,0.4494
read + share one person,weird way to reach out,0.52,21,0.5529,0.3088,0.3891
read + share one person,weird way to reach out,0.52,22,0.6871,0.3621,0.5413
read + share one person,weird way to reach out,0.52,23,0.7113,0.4038,0.4433
read + share one person,weird way to reach out,0.52,24,0.6834,0.3352,0.4552
read + share one person,small ritual named,0.74,1,0.6041,0.3434,0.4291
read + share one person,small ritual named,0.74,2,0.6602,0.4097,0.4787
read + share one person,small ritual named,0.74,3,0.6613,0.4207,0.42
read + share one person,small ritual named,0.74,4,0.5371,0.3199,0.4486
read + share one person,small ritual named,0.74,5,0.6372,0.3496,0.4149
read + share one person,small ritual named,0.74,6,0.645,0.3182,0.3995
read + share one person,small ritual named,0.74,7,0.6201,0.3706,0.4353
read + share one person,small ritual named,0.74,8,0.6735,0.4008,0.5168
read + share one person,small ritual named,0.74,9,0.6301,0.3752,0.3911
read + share one person,small ritual named,0.74,10,0.5713,0.3353,0.4845
read + share one person,small ritual named,0.74,11,0.6755,0.39,0.5586
read + share one person,small ritual named,0.74,12,0.59,0.2874,0.523
read + share one person,small ritual named,0.74,13,0.634,0.3774,0.532
read + share one person,small ritual named,0.74,14,0.6719,0.3735,0.5261
read + share one person,small ritual named,0.74,15,0.6143,0.3483,0.4563
read + share one person,small ritual named,0.74,16,0.7043,0.4697,0.5201
read + share one person,small ritual named,0.74,17,0.6444,0.3759,0.494
read + share one person,small ritual named,0.74,18,0.6527,0.3705,0.4706
read + share one person,small ritual named,0.74,19,0.5515,0.3273,0.4284
read + share one person,small ritual named,0.74,20,0.5315,0.2265,0.4402
read + share one person,small ritual named,0.74,21,0.7048,0.4554,0.5467
read + share one person,small ritual named,0.74,22,0.5615,0.3139,0.4689
read + share one person,small ritual named,0.74,23,0.6846,0.3918,0.4969
read + share one person,small ritual named,0.74,24,0.5003,0.2818,0.331
read + share one person,full cathedral footnote,0.93,1,0.5961,0.3525,0.5072
read + share one person,full cathedral footnote,0.93,2,0.4299,0.2278,0.4176
read + share one person,full cathedral footnote,0.93,3,0.4196,0.2672,0.4256
read + share one person,full cathedral footnote,0.93,4,0.4936,0.2551,0.3249
read + share one person,full cathedral footnote,0.93,5,0.5124,0.297,0.449
read + share one person,full cathedral footnote,0.93,6,0.4395,0.2603,0.324
read + share one person,full cathedral footnote,0.93,7,0.3721,0.185,0.3444
read + share one person,full cathedral footnote,0.93,8,0.5264,0.3194,0.432
read + share one person,full cathedral footnote,0.93,9,0.4856,0.282,0.4686
read + share one person,full cathedral footnote,0.93,10,0.4503,0.2245,0.4059
read + share one person,full cathedral footnote,0.93,11,0.5079,0.2969,0.4462
read + share one person,full cathedral footnote,0.93,12,0.5786,0.3408,0.4118
read + share one person,full cathedral footnote,0.93,13,0.4757,0.2414,0.2721
read + share one person,full cathedral footnote,0.93,14,0.4237,0.246,0.4003
read + share one person,full cathedral footnote,0.93,15,0.5164,0.2725,0.4348
read + share one person,full cathedral footnote,0.93,16,0.4854,0.2996,0.4002
read + share one person,full cathedral footnote,0.93,17,0.414,0.2175,0.3237
read + share one person,full cathedral footnote,0.93,18,0.467,0.2846,0.5339
read + share one person,full cathedral footnote,0.93,19,0.4304,0.2421,0.3624
read + share one person,full cathedral footnote,0.93,20,0.343,0.1959,0.3008
read + share one person,full cathedral footnote,0.93,21,0.4005,0.2034,0.38
read + share one person,full cathedral footnote,0.93,22,0.3746,0.2008,0.3277
read + share one person,full cathedral footnote,0.93,23,0.3718,0.2442,0.4063
read + share one person,full cathedral footnote,0.93,24,0.4197,0.1638,0.3976
read + discuss + share one,none,0.0,1,0.5156,0.2758,0.3768
read + discuss + share one,none,0.0,2,0.5251,0.2862,0.3138
read + discuss + share one,none,0.0,3,0.5524,0.2784,0.4102
read + discuss + share one,none,0.0,4,0.5887,0.3936,0.3853
read + discuss + share one,none,0.0,5,0.6223,0.333,0.4666
read + discuss + share one,none,0.0,6,0.6223,0.321,0.3835
read + discuss + share one,none,0.0,7,0.5476,0.3109,0.3754
read + discuss + share one,none,0.0,8,0.6125,0.2903,0.5012
read + discuss + share one,none,0.0,9,0.5377,0.2469,0.4385
read + discuss + share one,none,0.0,10,0.5971,0.273,0.3847
read + discuss + share one,none,0.0,11,0.4781,0.2767,0.4326
read + discuss + share one,none,0.0,12,0.5662,0.3294,0.4195
read + discuss + share one,none,0.0,13,0.5496,0.2517,0.3994
read + discuss + share one,none,0.0,14,0.5092,0.2993,0.3227
read + discuss + share one,none,0.0,15,0.581,0.2534,0.4019
read + discuss + share one,none,0.0,16,0.4891,0.2548,0.2778
read + discuss + share one,none,0.0,17,0.5694,0.3184,0.4147
read + discuss + share one,none,0.0,18,0.6205,0.2795,0.3876
read + discuss + share one,none,0.0,19,0.552,0.2688,0.3836
read + discuss + share one,none,0.0,20,0.5595,0.3686,0.4777
read + discuss + share one,none,0.0,21,0.4915,0.2284,0.3627
read + discuss + share one,none,0.0,22,0.5747,0.3146,0.4692
read + discuss + share one,none,0.0,23,0.684,0.337,0.4744
read + discuss + share one,none,0.0,24,0.6279,0.308,0.5234
read + discuss + share one,clinical humility,0.22,1,0.7021,0.491,0.5699
read + discuss + share one,clinical humility,0.22,2,0.7101,0.4613,0.3953
read + discuss + share one,clinical humility,0.22,3,0.5783,0.3273,0.4341
read + discuss + share one,clinical humility,0.22,4,0.721,0.4582,0.5612
read + discuss + share one,clinical humility,0.22,5,0.6993,0.4577,0.4236
read + discuss + share one,clinical humility,0.22,6,0.7654,0.4167,0.5772
read + discuss + share one,clinical humility,0.22,7,0.6508,0.3936,0.4307
read + discuss + share one,clinical humility,0.22,8,0.7537,0.501,0.5048
read + discuss + share one,clinical humility,0.22,9,0.6757,0.5014,0.473
read + discuss + share one,clinical humility,0.22,10,0.7427,0.4587,0.5655
read + discuss + share one,clinical humility,0.22,11,0.6779,0.3886,0.5026
read + discuss + share one,clinical humility,0.22,12,0.5783,0.3508,0.4887
read + discuss + share one,clinical humility,0.22,13,0.6727,0.4721,0.5796
read + discuss + share one,clinical humility,0.22,14,0.6801,0.4833,0.4186
read + discuss + share one,clinical humility,0.22,15,0.7025,0.4004,0.515
read + discuss + share one,clinical humility,0.22,16,0.6711,0.4366,0.4844
read + discuss + share one,clinical humility,0.22,17,0.6868,0.4196,0.5369
read + discuss + share one,clinical humility,0.22,18,0.6508,0.442,0.4674
read + discuss + share one,clinical humility,0.22,19,0.7449,0.5162,0.5454
read + discuss + share one,clinical humility,0.22,20,0.7059,0.4542,0.5161
read + discuss + share one,clinical humility,0.22,21,0.6224,0.387,0.4139
read + discuss + share one,clinical humility,0.22,22,0.627,0.4003,0.5204
read + discuss + share one,clinical humility,0.22,23,0.7002,0.4455,0.4995
read + discuss + share one,clinical humility,0.22,24,0.7275,0.4217,0.5727
read + discuss + share one,weird way to reach out,0.52,1,0.7979,0.6101,0.5547
read + discuss + share one,weird way to reach out,0.52,2,0.9,0.6617,0.6803
read + discuss + share one,weird way to reach out,0.52,3,0.797,0.6284,0.5264
read + discuss + share one,weird way to reach out,0.52,4,0.7796,0.5421,0.5254
read + discuss + share one,weird way to reach out,0.52,5,0.7707,0.6179,0.5728
read + discuss + share one,weird way to reach out,0.52,6,0.7377,0.5698,0.5681
read + discuss + share one,weird way to reach out,0.52,7,0.8985,0.6509,0.629
read + discuss + share one,weird way to reach out,0.52,8,0.8385,0.5757,0.5677
read + discuss + share one,weird way to reach out,0.52,9,0.8193,0.592,0.6592
read + discuss + share one,weird way to reach out,0.52,10,0.7617,0.6045,0.5848
read + discuss + share one,weird way to reach out,0.52,11,0.7109,0.592,0.6046
read + discuss + share one,weird way to reach out,0.52,12,0.9125,0.6436,0.5732
read + discuss + share one,weird way to reach out,0.52,13,0.844,0.597,0.5667
read + discuss + share one,weird way to reach out,0.52,14,0.8182,0.5642,0.6475
read + discuss + share one,weird way to reach out,0.52,15,0.7813,0.5655,0.591
read + discuss + share one,weird way to reach out,0.52,16,0.8331,0.6285,0.5158
read + discuss + share one,weird way to reach out,0.52,17,0.8861,0.6755,0.6211
read + discuss + share one,weird way to reach out,0.52,18,0.8211,0.536,0.5182
read + discuss + share one,weird way to reach out,0.52,19,0.8637,0.6762,0.5586
read + discuss + share one,weird way to reach out,0.52,20,0.8136,0.59,0.5727
read + discuss + share one,weird way to reach out,0.52,21,0.879,0.7017,0.581
read + discuss + share one,weird way to reach out,0.52,22,0.8793,0.6976,0.6331
read + discuss + share one,weird way to reach out,0.52,23,0.8466,0.5894,0.5812
read + discuss + share one,weird way to reach out,0.52,24,0.7973,0.5617,0.5188
read + discuss + share one,small ritual named,0.74,1,0.765,0.585,0.616
read + discuss + share one,small ritual named,0.74,2,0.8241,0.613,0.5135
read + discuss + share one,small ritual named,0.74,3,0.8648,0.7095,0.6075
read + discuss + share one,small ritual named,0.74,4,0.7358,0.6003,0.5553
read + discuss + share one,small ritual named,0.74,5,0.7988,0.6984,0.5886
read + discuss + share one,small ritual named,0.74,6,0.785,0.4969,0.4973
read + discuss + share one,small ritual named,0.74,7,0.7858,0.6192,0.5613
read + discuss + share one,small ritual named,0.74,8,0.8444,0.6353,0.6763
read + discuss + share one,small ritual named,0.74,9,0.8466,0.6207,0.5828
read + discuss + share one,small ritual named,0.74,10,0.7444,0.5228,0.5798
read + discuss + share one,small ritual named,0.74,11,0.7474,0.5798,0.5551
read + discuss + share one,small ritual named,0.74,12,0.8095,0.5644,0.6047
read + discuss + share one,small ritual named,0.74,13,0.7849,0.5808,0.6393
read + discuss + share one,small ritual named,0.74,14,0.7096,0.5924,0.5732
read + discuss + share one,small ritual named,0.74,15,0.7193,0.6147,0.5472
read + discuss + share one,small ritual named,0.74,16,0.7414,0.4743,0.5304
read + discuss + share one,small ritual named,0.74,17,0.7733,0.5852,0.4641
read + discuss + share one,small ritual named,0.74,18,0.6935,0.477,0.5364
read + discuss + share one,small ritual named,0.74,19,0.7173,0.5966,0.5534
read + discuss + share one,small ritual named,0.74,20,0.8393,0.71,0.5036
read + discuss + share one,small ritual named,0.74,21,0.7521,0.5435,0.5363
read + discuss + share one,small ritual named,0.74,22,0.8204,0.5768,0.6211
read + discuss + share one,small ritual named,0.74,23,0.7203,0.5797,0.5704
read + discuss + share one,small ritual named,0.74,24,0.8471,0.7406,0.583
read + discuss + share one,full cathedral footnote,0.93,1,0.6688,0.4751,0.5866
read + discuss + share one,full cathedral footnote,0.93,2,0.6409,0.4399,0.5647
read + discuss + share one,full cathedral footnote,0.93,3,0.6609,0.4383,0.5546
read + discuss + share one,full cathedral footnote,0.93,4,0.5208,0.3877,0.3977
read + discuss + share one,full cathedral footnote,0.93,5,0.6301,0.468,0.546
read + discuss + share one,full cathedral footnote,0.93,6,0.6083,0.4329,0.552
read + discuss + share one,full cathedral footnote,0.93,7,0.6266,0.4359,0.5347
read + discuss + share one,full cathedral footnote,0.93,8,0.6453,0.498,0.5862
read + discuss + share one,full cathedral footnote,0.93,9,0.7037,0.5488,0.6056
read + discuss + share one,full cathedral footnote,0.93,10,0.607,0.3781,0.4921
read + discuss + share one,full cathedral footnote,0.93,11,0.5667,0.412,0.467
read + discuss + share one,full cathedral footnote,0.93,12,0.5582,0.4937,0.3948
read + discuss + share one,full cathedral footnote,0.93,13,0.5737,0.4934,0.5202
read + discuss + share one,full cathedral footnote,0.93,14,0.6619,0.5453,0.4978
read + discuss + share one,full cathedral footnote,0.93,15,0.6337,0.4269,0.4512
read + discuss + share one,full cathedral footnote,0.93,16,0.6444,0.4766,0.4731
read + discuss + share one,full cathedral footnote,0.93,17,0.4488,0.3782,0.3957
read + discuss + share one,full cathedral footnote,0.93,18,0.6194,0.4036,0.5045
read + discuss + share one,full cathedral footnote,0.93,19,0.5498,0.4063,0.4728
read + discuss + share one,full cathedral footnote,0.93,20,0.5971,0.418,0.4915
read + discuss + share one,full cathedral footnote,0.93,21,0.6887,0.5392,0.5502
read + discuss + share one,full cathedral footnote,0.93,22,0.7141,0.5449,0.5747
read + discuss + share one,full cathedral footnote,0.93,23,0.6346,0.4478,0.5542
read + discuss + share one,full cathedral footnote,0.93,24,0.6009,0.4581,0.4815
